Category,Screen Size(in inches),Screen Resolution,CPU,GHz,RAM(IN GB),Storage(Gb),GPU,OS,Weight (in kg),Price (in php)
4,13.3,1080,5,2.5,4,1,0,6,1.28,108777.61
1,15.6,768,4,2,4,0,1,2,2.18,27554.17
3,17.3,1080,5,2.5,12,3,1,6,2.2,82831.83
5,11.6,768,1,1.6,4,5,0,3,1.25,17958.28
1,17.3,900,8,2.2,4,0,1,6,2.8,22916.46
1,14,1080,5,2.5,4,1,0,6,1.95,76488.98
4,13.3,1800,6,2.7,16,1,0,6,1.42,84591.37
2,15,1080,6,2.7,8,1,0,6,1.17,102731.05
2,14,1080,5,2.5,8,1,0,6,1.32,108777.61
3,17.3,2160,6,2.6,16,3,1,6,2.43,160173.37
1,13.3,1080,5,2.5,8,1,0,6,1.05,89186.76
3,15.6,1080,6,2.8,8,0,1,2,2.62,56172.54
1,15.6,1080,6,2.7,8,0,1,6,2.04,54419.04
1,15.6,768,4,2,4,0,1,6,2.18,37125.88
1,15.6,1080,5,2.6,8,0,0,6,1.9,56535.34
4,13.3,1800,6,1.3,8,1,0,6,1.24,121723.3
3,17.3,1080,6,2.7,32,3,1,6,3.58,77335.5
4,13.3,1080,6,1.3,16,1,0,6,1.22,99707.77
2,14,1080,6,2.7,8,5,0,6,1.13,123894.01
1,15.6,1080,5,2.5,8,1,0,6,1.95,118693.37
2,15.6,1080,6,2.7,16,1,0,6,1.08,126917.29
5,12.5,1080,6,2.7,8,1,0,6,1.26,89670.48
1,15.6,1080,1,1.5,4,5,0,3,2.2,21707.15
1,15.6,1080,5,2.3,8,3,1,6,2.6,47707.36
2,14,1080,6,2.7,8,1,0,6,0.98,114824.17
1,14,1080,5,2.8,8,1,0,6,1.6,72861.05
2,12.5,2160,7,1.2,8,1,0,6,1.09,187443.36
1,15.6,1080,6,2.7,6,1,1,6,2.2,47707.36
1,15.6,1080,6,2.7,8,1,1,6,2.04,61613.84
1,15.6,1080,4,2.4,4,0,0,6,2.4,30172.33
1,13.3,1080,5,2.5,4,1,0,6,1.44,53270.19
1,13.3,1080,5,2.5,8,1,0,6,1.49,58046.98
3,17.3,1080,6,2.8,16,3,1,6,2.7,96684.49
3,15.6,1080,6,2.8,16,3,1,6,2.6,81568.09
3,15.6,1080,5,2.5,8,3,1,6,2.2,67716.03
1,15.6,768,5,2.5,4,0,1,6,2.18,41418.33
2,15.6,1080,6,2.5,8,1,1,6,1.84,78423.28
2,13.3,1800,6,2.7,8,1,0,6,1.39,69474.97
1,15.6,1080,6,2.6,16,1,1,6,2.4,119419.56
4,13.3,1080,5,2.5,8,1,0,6,1.37,110349.72
1,15.6,768,5,2.3,4,0,0,6,1.95,44133.84
2,12.5,1080,6,2.7,8,1,0,6,1.36,99768.24
1,15.6,1080,5,2.3,8,1,0,6,2.31,70442.42
1,15.6,768,5,2.5,4,0,0,6,2.18,42813.27
1,14,768,5,2.3,4,0,0,6,1.95,69474.97
1,15.6,768,2,1.1,4,0,0,6,2.2,18683.87
2,12.5,1080,5,2.3,4,0,0,6,1.26,95475.18
1,15.6,768,1,1.6,4,0,0,8,1.86,17468.51
4,13.3,1800,6,2.2,16,1,0,6,1.3,108777.61
1,14,1080,5,2.3,4,1,0,6,1.47,66814.49
5,12.5,1080,5,2.3,8,1,0,6,1.26,100917.09
1,15.6,768,4,2,4,0,0,6,2.18,33776.08
3,15.6,1080,6,2.8,8,3,1,6,2.2,72498.25
2,14,1080,5,2.5,8,1,0,6,1.36,99103.12
3,17.3,1440,6,2.7,16,3,1,6,4.36,166764.12
3,17.3,1080,5,2.3,8,3,1,6,2.75,84591.37
1,17.3,900,2,1.6,4,0,1,6,2.8,32046.77
1,15.6,768,5,2.5,4,0,0,6,2.23,37428.21
1,15.6,768,5,2.3,8,1,0,6,2.2,67661.01
4,11.3,1080,7,1.2,8,1,0,6,1.1,78544.81
3,15.6,1080,15,2.1,16,3,1,6,2.5,60405.13
2,12.5,1080,5,2.5,8,1,0,6,1.36,89017.46
1,15.6,1080,6,2.7,8,0,1,8,2.2,41418.94
1,17.3,900,4,2,4,0,1,6,2.36,39846.83
1,14,768,1,1.6,4,5,0,3,1.68,21102.49
6,15.6,1080,6,2.7,8,1,1,6,2,135987.13
2,14,1080,6,2.8,8,1,0,6,1.36,107326.44
1,13.3,1080,5,2.3,8,1,0,5,1.2,88279.78
4,12.5,1080,7,1.2,8,5,0,3,1.2,70079.63
2,14,1080,6,2.6,8,1,0,6,1.7,90032.67
3,17.3,2160,6,2.8,16,3,1,6,4.36,190708.5
4,13.3,1080,5,1.2,8,1,0,6,1.24,114824.17
4,11.6,768,2,1.1,4,1,0,6,1.45,46860.84
2,13.3,1800,6,2.5,8,1,0,6,1.3,76670.38
4,11.6,768,1,1.6,4,5,0,3,1.25,23521.12
1,13.3,1080,5,2.4,8,1,0,6,1.2,92814.7
2,12.5,1080,5,2.6,8,1,0,6,1.36,106419.46
1,15.6,1080,5,2.5,12,3,1,6,2.4,61009.79
2,12.5,1080,6,2.7,8,1,0,6,1.1,108233.42
1,15.6,768,5,2.5,8,0,1,6,2.04,51184.13
1,15.6,768,4,2,4,0,1,2,2.25,28153.99
1,15.6,768,5,2.5,4,0,0,6,1.9,49884.12
1,15.6,1080,4,2.4,4,0,0,6,2.04,41418.94
3,17.3,1080,6,2.8,32,3,1,6,4.42,190406.17
1,15.6,1080,5,2.5,6,1,1,6,2.4,42023.59
4,13.3,1800,6,1.3,16,1,0,6,1.22,114824.17
2,14,1440,6,2.6,8,1,0,6,1.5,118692.76
3,17.3,1080,6,2.6,32,3,1,6,4.42,169303.68
1,14,1080,5,2.3,8,1,0,6,1.95,71349.41
3,17.3,1080,6,2.8,16,3,1,6,2.73,123948.43
1,15.6,1080,5,2.7,8,3,1,6,2.04,59195.82
1,14,768,5,2.3,4,4,0,5,1.7,60586.53
,,,,,,,,,,
