Category,Screen Size(in inches),Screen Resolution,CPU,GHz,RAM(IN GB),Storage(Gb),GPU,OS,Weight (in kg),Price (in php)
3,15.6,1080,6,2.8,16,1,1,6,2.56,75537.26
3,15.6,1080,6,2.8,8,4,1,6,2.62,54358.57
1,15.6,768,5,2.5,4,1,0,6,1.9,30111.87
3,17.3,1080,6,2.8,16,3,1,6,2.8,114279.98
2,14,1080,5,2.7,4,1,0,6,1.48,65423.78
1,15.6,1080,5,1.6,6,1,1,6,1.91,37428.21
4,14,1080,4,2.4,4,1,0,6,1.74,38032.86
4,13.3,1080,5,1.6,8,1,0,6,1.1,79512.26
4,15.6,1080,6,1.8,8,1,0,6,1.56,63428.41
1,15.6,768,4,2.2,4,0,0,6,2.1,27028.12
1,15.6,768,11,3,4,0,1,6,2.03,24367.64
1,17.3,1080,5,1.6,4,1,1,6,3,48674.81
1,15.6,1080,5,1.6,8,1,1,6,2.13,44018.96
3,15.6,1080,6,2.8,16,1,1,6,2.5,65242.38
1,15.6,768,1,1.1,4,0,0,6,2.1,21042.03
3,15.6,1080,6,2.8,16,3,1,6,2.4,108777.61
1,15.6,768,2,1.1,4,0,0,6,2.1,21979.85
3,15.6,1080,6,2.8,8,3,1,6,2.56,64123.16
1,17.3,1080,5,1.6,8,1,1,6,3,51637.62
1,13.3,1080,5,1.6,4,0,0,6,1.49,45591.06
2,13,1440,5,2.5,8,1,0,6,1.05,81568.09
1,17.3,1080,5,2.5,6,0,1,6,2.71,42265.45
1,15.6,768,9,2.9,4,0,1,8,2.2,18683.87
1,15.6,768,4,2.4,4,0,0,6,2,29567.68
1,17.3,1080,5,1.6,8,1,1,6,2.5,55809.75
1,15.6,768,4,2.4,8,0,0,6,2.3,27753.71
1,15.6,768,4,2,4,1,0,6,2.1,27149.05
3,18.4,1080,6,2.9,32,3,1,6,4.4,169243.21
1,15.6,1080,5,2.5,8,3,1,6,1.9,49158.53
4,13.3,2160,5,1.6,8,1,0,6,1.29,90637.93
1,15.6,1080,6,1.8,16,3,1,2,2.02,63428.41
2,13.3,1080,5,1.6,8,1,0,6,1.23,84591.37
4,13.9,2160,6,1.8,16,1,0,6,1.4,111800.89
1,15.6,768,5,2.5,8,1,0,6,2,47949.22
1,15.6,1080,5,1.6,8,1,1,8,1.95,72498.25
1,17.3,1080,6,1.8,16,1,1,6,2.77,93661.21
1,15.6,2160,6,2.8,16,1,1,6,2.06,144936.04
3,15.6,1080,5,2.5,8,1,1,8,2.4,47102.7
2,13.3,1080,5,1.2,8,1,0,6,1.12,59800.48
1,17.3,1080,6,1.8,8,3,1,6,2.8,65605.18
4,14,1440,6,2.7,16,1,0,6,1.42,170754.85
1,14,1080,1,1.1,4,5,0,6,1.3,15721.06
2,13.3,1080,5,2.5,8,1,1,8,1.3,60459.55
1,17.3,900,5,1.6,8,1,1,8,2.8,42204.99
4,13.3,1080,6,1.8,8,0,0,6,1.62,50730.64
1,17.3,1080,5,1.6,8,0,1,6,2.5,55265.56
3,17.3,2160,6,2.9,32,1,1,6,3.49,368779.69
1,13.3,1080,5,1.6,8,1,0,6,1.49,57986.51
3,17.3,1080,6,2.8,16,3,1,6,3.35,83382.06
1,17.3,1080,6,1.8,8,1,1,6,2.5,63186.55
3,15.6,2160,6,2.8,16,3,1,6,2.65,111559.03
1,15.6,768,5,2.3,4,1,0,6,2.1,29809.54
1,15.6,1080,6,2.7,8,0,1,6,2.23,44865.48
3,15.6,1080,6,2.8,16,3,1,6,3.2,105754.33
6,15.6,2160,3,6.3,16,3,1,6,2.8,184722.41
3,15.6,1080,6,2.8,16,1,1,8,2.4,84530.91
1,15.6,768,4,2.4,6,0,0,6,2.3,26544.4
2,13.3,2160,6,1.8,8,1,0,6,1.21,117847.45
2,13.3,1080,6,1.8,8,1,0,6,1.2,87614.65
1,15.6,768,5,2.5,8,1,0,6,2.2,36097.96
1,15.6,1080,6,2.8,8,0,1,2,2.4,47102.7
3,17.3,1080,6,2.8,16,3,1,6,2.9,85075.1
1,15.6,1080,4,2,4,0,0,8,2.1,21102.49
1,15.6,1080,5,2.5,8,1,0,8,2.2,33195.61
2,13,1440,6,2.7,8,1,0,6,1.05,90637.93
2,13.3,1080,6,1.8,8,1,1,6,1.4,56346.68
1,17.3,900,5,2.5,8,0,1,8,2.8,35614.24
1,14,1080,6,1.8,8,1,1,6,1.63,62340.03
2,14,1080,5,1.6,8,1,0,6,1.6,69474.97
4,13.3,1080,6,1.8,16,1,0,6,1.62,77335.5
1,15.6,1080,5,1.6,8,1,1,2,2.2,40956.37
4,14,1080,5,1.6,8,1,0,6,1.74,54358.57
2,13.3,1080,6,2.5,8,1,0,6,1.2,82414.61
1,15.6,1080,5,1.6,8,0,0,6,2.1,48009.69
3,17.3,1080,6,2.8,16,3,1,6,4.42,148524.07
1,15.6,1080,6,2.7,8,1,1,6,2.2,50307.38
1,15.6,1080,6,2.7,16,0,1,6,2.3,51940.56
1,15.6,1080,5,2.5,8,1,1,6,2,46498.05
1,17.3,1080,5,2.5,8,3,1,6,2.69,53874.85
1,15.6,1080,6,2.7,8,0,1,6,1.9,76730.85
1,15.6,768,4,2.4,4,0,0,6,2.37,24125.17
1,15.6,768,14,1.5,4,0,1,6,2.1,19953.65
3,15.6,1080,6,2.8,16,3,1,6,3.2,90637.93
1,14,1080,5,2.5,8,1,0,6,1.6,51939.95
4,13.3,1080,5,2.3,8,1,0,6,1.6,41660.8
1,15.6,1080,6,2.7,16,1,1,2,2.36,54358.57
1,15.6,768,4,2,4,0,0,2,2.1,23581.58
1,15.6,1080,12,2.5,4,3,1,6,2.2,34767.72
3,17.3,1080,6,2.9,32,3,1,6,4.7,235211.18
3,15.6,1080,5,2.5,8,1,1,6,2.5,51153.9
1,15.6,768,4,2,8,1,0,6,2.2,35614.24
